交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
2302,11560,11630,11630,11630, , , , ,2,23.26,2,2,
小计, , , , , , , , ,42531,499075.44,74561 / 904,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:纸浆,,,,,,,,,,,,,
2203,6612,6620,6668,6558, , , , ,288,1903.84,5679,-135,
2204,6652,6672,6706,6606, , , , ,7230,48053.09,11660,-472,
2205,6682,6704,6744,6632, , , , ,194708,1301033.95,225915,-10517,
2206,6666,6680,6720,6620, , , , ,30358,202311.72,40389,-78,
2207,6650,6676,6700,6598, , , , ,4265,28338.08,25321,811,
2208,6636,6626,6680,6580, , , , ,3076,20385.13,10571,1358,
2209,6618,6624,6656,6560, , , , ,6366,42066.86,34386,-208,
2210,6578,6572,6618,6544, , , , ,838,5507.93,11254,586,
2211,6508,6520,6556,6520, , , , ,4,26.17,6461,1,
2212,6540,6450,6518,6450, , , , ,1005,6482.55,6891,1003,
2301,6586,6524,6590,6514, , , , ,4,26.18,239,1,
2302,6530, , , , , , , ,0,0,6,0,
小计, , , , , , , , ,248142,1656135.5,378772 / -7650,,
总计, , , , , , , , ,6377977,73329156.89,8495012,-277671,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:原油TAS,,,,,,,,,,,,,
2204, , , , , , , , ,0, , , ,
小计, , , , , , , , ,0, , ,,
